second,maxFlight,flying,aggressiveAvgFlying,lazyAvgFlying,bothAvgFlying
1,1,1,0.10,0.00,0.09
55,1,1,1.00,0.00,0.47
189,1,1,1.00,0.00,0.47
390,1,1,1.00,0.00,0.47
536,1,1,1.00,0.00,0.47
